
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Could not compute lnProb for node fbd_tree.
   ((((Canis_simensis[&index=23]:0.661752,Canis_mesome...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_cinereoargenteus[&index=23]:9.484638,Uroc...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_webbi[&index=23]:19.413033,((Urocyon_minic...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((((((Canis_thooides[&index=23]:3.923106,((Canis_a...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_webbi[&index=23]:0.843133,Urocyon_cinereo...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 296 different moves in a random move schedule with 346.767 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
19000       |   -2.54525e+06   |   -2.54533e+06   |        86.0902   |       6.606444   |       6.606444   |       21.15993   |   02:58:08   |   12:39:24   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
20000       |   -2.54524e+06   |   -2.54534e+06   |        103.155   |       6.905623   |       6.905623   |         20.766   |   03:07:36   |   12:30:24   |
21000       |   -2.54526e+06   |   -2.54534e+06   |         77.452   |       6.748353   |       6.748353   |       11.07567   |   03:16:53   |   12:20:39   |
22000       |   -2.54526e+06   |   -2.54534e+06   |        79.5438   |       6.776689   |       6.776689   |       10.37055   |   03:25:52   |   12:09:53   |
23000       |   -2.54526e+06   |   -2.54534e+06   |        85.9021   |        6.77784   |        6.77784   |       26.92862   |   03:35:04   |   12:00:00   |
24000       |   -2.54526e+06   |   -2.54534e+06   |        78.8301   |       6.768482   |       6.768482   |       13.69977   |   03:44:20   |   11:50:23   |
25000       |   -2.54526e+06   |   -2.54535e+06   |        90.8516   |       6.784202   |       6.784202   |       21.74887   |   03:53:42   |   11:41:06   |
26000       |   -2.54525e+06   |   -2.54534e+06   |        86.7374   |       6.758298   |       6.758298   |       28.72349   |   04:03:01   |   11:31:39   |
27000       |   -2.54526e+06   |   -2.54533e+06   |        69.0941   |       6.712635   |       6.712635   |       12.20559   |   04:12:33   |   11:22:49   |
28000       |   -2.54524e+06   |   -2.54533e+06   |        91.9782   |       6.702145   |       6.702145   |        26.0911   |   04:22:19   |   11:14:31   |
29000       |   -2.54523e+06   |   -2.54533e+06   |        95.6203   |       6.743935   |       6.743935   |       20.46363   |   04:31:49   |   11:05:28   |
30000       |   -2.54524e+06   |   -2.54534e+06   |        101.836   |       6.786948   |       6.786948   |       20.31224   |   04:41:27   |   10:56:43   |
31000       |   -2.54526e+06   |   -2.54534e+06   |        78.7405   |       6.766913   |       6.766913   |       12.90648   |   04:50:59   |   10:47:40   |
32000       |   -2.54524e+06   |   -2.54533e+06   |        84.8579   |       6.766649   |       6.766649   |       21.30653   |   05:00:34   |   10:38:42   |
33000       |   -2.54526e+06   |   -2.54533e+06   |        69.9836   |       6.816585   |       6.816585   |       21.32329   |   05:10:08   |   10:29:39   |
34000       |   -2.54524e+06   |   -2.54533e+06   |        91.5106   |       6.742124   |       6.742124   |       17.79271   |   05:19:55   |   10:21:00   |
35000       |   -2.54523e+06   |   -2.54533e+06   |         98.003   |       7.056942   |       7.056942   |       29.66264   |   05:29:50   |   10:12:32   |
36000       |   -2.54524e+06   |   -2.54534e+06   |         97.704   |       7.083569   |       7.083569   |       16.42479   |   05:39:45   |   10:04:00   |
37000       |   -2.54522e+06   |   -2.54533e+06   |        109.863   |         7.3102   |         7.3102   |       14.51152   |   05:49:21   |   09:54:50   |
38000       |   -2.54524e+06   |   -2.54533e+06   |        88.4053   |       7.368696   |       7.368696   |       28.66452   |   05:58:58   |   09:45:40   |
39000       |   -2.54522e+06   |   -2.54533e+06   |        115.522   |         7.5758   |         7.5758   |       15.93473   |   06:08:46   |   09:36:47   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
40000       |   -2.54521e+06   |   -2.54532e+06   |        107.053   |       6.953922   |       6.953922   |       13.13879   |   06:18:36   |   09:27:54   |
41000       |   -2.54524e+06   |   -2.54534e+06   |         100.28   |       7.112549   |       7.112549   |       15.97943   |   06:28:14   |   09:18:40   |
42000       |   -2.54523e+06   |   -2.54533e+06   |        97.9059   |       7.082873   |       7.082873   |       15.46296   |   06:37:51   |   09:09:24   |
43000       |   -2.54524e+06   |   -2.54533e+06   |        91.9698   |        7.01037   |        7.01037   |       17.52789   |   06:47:36   |   09:00:18   |
44000       |   -2.54524e+06   |   -2.54534e+06   |        99.2877   |       7.027975   |       7.027975   |       14.60484   |   06:57:51   |   08:51:48   |
45000       |   -2.54524e+06   |   -2.54534e+06   |        95.5146   |       6.988369   |       6.988369   |       26.15873   |   07:07:40   |   08:42:42   |
46000       |   -2.54522e+06   |   -2.54533e+06   |        107.544   |       7.015166   |       7.015166   |       17.29457   |   07:17:22   |   08:33:25   |
47000       |   -2.54525e+06   |   -2.54533e+06   |        81.8554   |        6.99685   |        6.99685   |       15.91874   |   07:27:13   |   08:24:18   |
48000       |   -2.54525e+06   |   -2.54533e+06   |        88.9731   |       7.041747   |       7.041747   |       22.77895   |   07:37:03   |   08:15:08   |
49000       |   -2.54522e+06   |   -2.54533e+06   |        116.764   |       7.064462   |       7.064462   |       14.12424   |   07:46:47   |   08:05:50   |
50000       |   -2.54523e+06   |   -2.54533e+06   |        99.9879   |       7.113357   |       7.113357   |       28.11585   |   07:56:31   |   07:56:31   |
51000       |   -2.54524e+06   |   -2.54533e+06   |         96.449   |       7.096389   |       7.096389   |         13.566   |   08:06:51   |   07:47:45   |
52000       |   -2.54526e+06   |   -2.54534e+06   |        75.7853   |       7.101712   |       7.101712   |       18.71243   |   08:17:22   |   07:39:06   |
53000       |   -2.54524e+06   |   -2.54533e+06   |        86.8163   |       7.060807   |       7.060807   |       26.27759   |   08:28:36   |   07:31:01   |
54000       |   -2.54523e+06   |   -2.54534e+06   |        109.371   |       7.007974   |       7.007974   |        21.7832   |   08:38:10   |   07:21:24   |
55000       |   -2.54526e+06   |   -2.54534e+06   |        74.2783   |       7.011192   |       7.011192   |       28.09152   |   08:48:12   |   07:12:09   |
56000       |   -2.54523e+06   |   -2.54533e+06   |        98.5113   |       7.038431   |       7.038431   |       26.41539   |   09:00:17   |   07:04:30   |
57000       |   -2.54522e+06   |   -2.54533e+06   |        112.329   |        7.02679   |        7.02679   |       10.95858   |   09:11:23   |   06:55:57   |
58000       |   -2.54521e+06   |   -2.54532e+06   |        106.361   |       6.977007   |       6.977007   |       23.73728   |   09:21:20   |   06:46:28   |
59000       |   -2.54524e+06   |   -2.54533e+06   |        87.5259   |        7.05122   |        7.05122   |       24.30524   |   09:31:14   |   06:36:57   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
60000       |   -2.54522e+06   |   -2.54533e+06   |        106.106   |       7.028088   |       7.028088   |       22.80462   |   09:41:40   |   06:27:46   |
61000       |   -2.54523e+06   |   -2.54532e+06   |        91.2005   |       6.989068   |       6.989068   |       18.25699   |   09:51:07   |   06:17:55   |
62000       |   -2.54523e+06   |   -2.54532e+06   |        96.7773   |       6.925084   |       6.925084   |       19.78719   |   10:00:28   |   06:08:01   |
63000       |   -2.54522e+06   |   -2.54533e+06   |        109.145   |       6.896009   |       6.896009   |       23.80377   |   10:10:39   |   05:58:38   |
64000       |   -2.54523e+06   |   -2.54533e+06   |        97.5014   |       6.827421   |       6.827421   |        21.9808   |   10:20:18   |   05:48:55   |
65000       |   -2.54524e+06   |   -2.54533e+06   |        94.4411   |       6.825581   |       6.825581   |       17.04012   |   10:30:41   |   05:39:35   |
66000       |   -2.54526e+06   |   -2.54535e+06   |        87.6941   |       6.819454   |       6.819454   |       21.02575   |   10:40:43   |   05:30:03   |
67000       |   -2.54523e+06   |   -2.54533e+06   |        97.7331   |       6.798881   |       6.798881   |       18.47784   |   10:50:36   |   05:20:26   |
68000       |   -2.54525e+06   |   -2.54534e+06   |        92.0024   |       6.790256   |       6.790256   |       23.54287   |   11:00:15   |   05:10:42   |
69000       |   -2.54525e+06   |   -2.54533e+06   |        82.6552   |       6.751405   |       6.751405   |       12.95159   |   11:10:30   |   05:01:14   |
70000       |   -2.54524e+06   |   -2.54533e+06   |        86.4129   |        6.76222   |        6.76222   |       17.71158   |   11:22:47   |   04:52:37   |
71000       |   -2.54459e+06   |   -2.54467e+06   |         77.073   |       6.747895   |       6.580678   |       25.58615   |   11:33:28   |   04:43:14   |
72000       |   -2.54458e+06   |   -2.54466e+06   |        79.4687   |       6.733625   |       6.609398   |       25.13204   |   11:44:07   |   04:33:49   |
73000       |   -2.54457e+06   |   -2.54467e+06   |        95.1657   |         6.7285   |       6.597895   |       20.43269   |   11:55:21   |   04:24:34   |
74000       |   -2.54459e+06   |   -2.54467e+06   |        76.8347   |       6.722948   |       6.606244   |       17.35588   |   12:06:14   |   04:15:09   |
75000       |   -2.54457e+06   |   -2.54466e+06   |        93.9741   |       6.742928   |       6.550018   |       27.98855   |   12:18:06   |   04:06:02   |
76000       |   -2.54457e+06   |   -2.54466e+06   |        91.1489   |       6.775527   |       6.552216   |       20.02125   |   12:28:09   |   03:56:15   |
77000       |   -2.54457e+06   |   -2.54467e+06   |        101.692   |       6.821734   |       6.548193   |       25.95318   |   12:38:24   |   03:46:32   |
78000       |   -2.54457e+06   |   -2.54465e+06   |        83.0218   |       6.834623   |       6.571703   |       10.19032   |   12:48:30   |   03:36:45   |
79000       |   -2.54455e+06   |   -2.54466e+06   |        107.525   |        6.88233   |       6.528667   |       12.75269   |   12:58:43   |   03:27:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
80000       |   -2.54455e+06   |   -2.54465e+06   |        98.8489   |       6.817904   |       6.563882   |       20.72916   |   13:08:44   |   03:17:11   |
81000       |   -2.54455e+06   |   -2.54465e+06   |        99.0672   |       6.810822   |       6.555089   |       10.45038   |   13:17:55   |   03:07:09   |
82000       |   -2.54455e+06   |   -2.54465e+06   |        97.7956   |       6.806689   |       6.520469   |       15.84228   |   13:27:51   |   02:57:19   |
83000       |   -2.54455e+06   |   -2.54464e+06   |        94.6588   |       6.785434   |       6.546116   |       15.44208   |   13:37:42   |   02:47:28   |
84000       |   -2.54457e+06   |   -2.54466e+06   |         88.416   |       6.777074   |       6.579957   |       15.18956   |   13:47:40   |   02:37:39   |
85000       |   -2.54457e+06   |   -2.54465e+06   |        77.9032   |       6.771086   |       6.571212   |       18.56548   |   13:56:40   |   02:27:38   |
86000       |   -2.54456e+06   |   -2.54466e+06   |        94.9637   |       6.767032   |       6.577659   |       26.46623   |   14:05:59   |   02:17:43   |
87000       |   -2.54457e+06   |   -2.54466e+06   |        92.5031   |       6.781833   |       6.559741   |        24.5472   |   14:15:33   |   02:07:50   |
88000       |   -2.54454e+06   |   -2.54465e+06   |        107.077   |       6.796162   |       6.569921   |       15.09653   |   14:24:45   |   01:57:55   |
89000       |   -2.54458e+06   |   -2.54467e+06   |        86.7205   |        6.77906   |       6.564659   |       22.83105   |   14:34:24   |   01:48:04   |
90000       |   -2.54457e+06   |   -2.54466e+06   |        89.1506   |       6.785982   |       6.600596   |       25.22191   |   14:44:24   |   01:38:16   |
91000       |   -2.54457e+06   |   -2.54466e+06   |        94.3398   |       6.792062   |       6.572343   |       26.65544   |   14:54:41   |   01:28:29   |
92000       |   -2.54456e+06   |   -2.54465e+06   |        84.0276   |       6.773647   |       6.562115   |       19.89461   |   15:04:07   |   01:18:37   |
93000       |   -2.54455e+06   |   -2.54465e+06   |        100.225   |       6.765473   |       6.577885   |       15.92231   |   15:13:50   |   01:08:46   |
94000       |   -2.54458e+06   |   -2.54467e+06   |         90.677   |       6.749087   |       6.579957   |       15.39066   |   15:23:06   |   00:58:55   |
95000       |   -2.54456e+06   |   -2.54467e+06   |        102.084   |       6.785587   |       6.589205   |       16.56727   |   15:32:42   |   00:49:05   |
96000       |   -2.54456e+06   |   -2.54466e+06   |        93.2346   |       6.773147   |       6.560091   |       25.05426   |   15:43:48   |   00:39:19   |
97000       |   -2.54458e+06   |   -2.54467e+06   |        96.2457   |       6.789289   |       6.558992   |       29.90293   |   15:54:09   |   00:29:30   |
98000       |   -2.54456e+06   |   -2.54466e+06   |        98.5085   |       6.788016   |       6.547271   |        29.7129   |   16:04:00   |   00:19:40   |
99000       |   -2.54455e+06   |   -2.54465e+06   |        92.7849   |       6.802979   |       6.571566   |       14.38107   |   16:13:30   |   00:09:50   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
100000      |   -2.54458e+06   |   -2.54466e+06   |        76.7932   |       6.794191   |       6.536434   |        14.0158   |   16:23:09   |   00:00:00   |
